1726918466.54830027,2332,560084.54830027,22.30468492,114.18090427,17.58869777,165.28482951,6.34504148,-17.31968802,-10.22982977,11.46106744,10.16571443,-0.00552327,-0.00039752,0.00243274
1726918466.94858932,2332,560084.94858932,22.30468489,114.18090426,17.59058763,165.24747189,6.33941755,-17.32502493,-10.23113365,11.45838674,10.16760430,-0.00097365,0.00043266,0.00179095
1726918467.34902716,2332,560085.34902716,22.30468490,114.18090421,17.58922407,165.25292511,6.27874011,-17.34762511,-10.23665861,11.45877905,10.16624073,-0.00097158,0.00306562,0.00084309
1726918467.74929285,2332,560085.74929285,22.30468491,114.18090425,17.59281848,165.22826430,6.34433933,-17.34434427,-10.23212114,11.46027120,10.16983514,0.00093783,0.00021021,-0.00000991
1726918468.14962053,2332,560086.14962053,22.30468491,114.18090423,17.59252081,165.27731622,6.30460854,-17.36917414,-10.23370471,11.46012896,10.16953747,-0.00041459,0.00358174,-0.00137055
1726918468.54998255,2332,560086.54998255,22.30468493,114.18090428,17.59215636,165.26544020,6.32575444,-17.30798577,-10.22904301,11.46188781,10.16917302,-0.00133691,0.00140132,-0.00317293
1726918468.95035028,2332,560086.95035028,22.30468494,114.18090425,17.58853405,165.26351274,6.30213497,-17.35967497,-10.23173857,11.46327994,10.16555071,-0.00192064,0.00101201,-0.00157424
1726918469.35069370,2332,560087.35069370,22.30468495,114.18090426,17.58818108,165.25739435,6.28620421,-17.34699877,-10.23077638,11.46424069,10.16519773,-0.00248384,0.00260339,-0.00183348
1726918469.75112391,2332,560087.75112391,22.30468495,114.18090424,17.58704983,165.27995896,6.30660926,-17.32195328,-10.23285148,11.46435632,10.16406648,-0.00380096,0.00271804,-0.00177166
1726918470.15145135,2332,560088.15145135,22.30468496,114.18090420,17.58730476,165.29035408,6.29856375,-17.32679875,-10.23680147,11.46613271,10.16432141,0.00017251,-0.00220461,-0.00235068
1726918470.55176687,2332,560088.55176687,22.30468495,114.18090419,17.58327159,165.30606753,6.26375240,-17.36049857,-10.23803354,11.46475762,10.16028824,0.00105066,-0.00023197,-0.00106095
1726918470.95208836,2332,560088.95208836,22.30468500,114.18090419,17.58440659,165.32042498,6.31263834,-17.27508152,-10.23803952,11.47042056,10.16142322,0.00181686,-0.00240377,-0.00070811
1726918471.35257459,2332,560089.35257459,22.30468499,114.18090422,17.58600375,165.30492521,6.29824330,-17.29744981,-10.23488805,11.46898487,10.16302039,0.00081151,-0.00534275,-0.00260576
1726918471.75281930,2332,560089.75281930,22.30468498,114.18090424,17.58419399,165.30139883,6.31801141,-17.30703407,-10.23285394,11.46811073,10.16121063,-0.00119326,-0.01080988,-0.00490519
